shell_index,shell_distance_ang,pairs_in_shell,weighted_configs_with_shell,presence_delta_eV,slope_eV_per_pair,weighted_corr
216,8.343253959908324,1,766,-0.04653596913203728,-0.05015123813556008,-0.0881931238664003
217,8.364179461772595,1,10,-0.15208112630079995,-0.1522243828279634,-0.031736929062616506
218,8.5839740482891,1,12,0.1898206156984088,0.19003522351516733,0.04339747832668187
219,8.675681032157607,1,300,-0.04975431710136036,-0.05119982312054473,-0.05766275293046531
220,8.694903711753552,1,268,-0.06955635698795959,-0.07135603875049008,-0.07607400964459533
221,8.701511554404618,1,892,0.03569141901698458,0.038962093533103495,0.07346332940997088
222,8.716051143341861,1,228,-0.09099947640652317,-0.09299484865560737,-0.09162235412989916
223,8.740130804378168,1,20,0.07681328369926632,0.07695813243060953,0.02268013072637974
224,8.744923233431388,1,60,-0.08540277963493281,-0.08588774715333163,-0.043758493706557204
225,8.782524936332196,1,68,-0.07022633665428657,-0.07067863736615262,-0.03832072151047009
226,8.789782356029148,1,6,-0.019702194300862175,-0.019713325486847542,-0.003184182861144222
227,8.796941306231924,1,910,-0.030286122652341874,-0.033122719157548074,-0.06302177861713465
228,8.818913704309127,1,139,0.07698631267749079,0.07800672818559341,0.06026502224137929
229,8.82646385112808,1,323,0.006513300033930136,0.006717492587317092,0.007841344440832803
230,8.972043809734965,1,6,-0.16794161763436932,-0.16803649990668046,-0.027141993034432394
231,8.999504089233103,1,381,-0.1306717910460975,-0.13553132764145442,-0.17133985146972402
232,9.044089822578727,1,2,-0.2540085643013299,-0.25405638218095433,-0.023696781410910472
233,9.061029114527258,1,166,-0.005033378758980689,-0.0051132583861125125,-0.004311395358514343
234,9.064455713337107,1,338,0.017077509012779046,0.017638570250825034,0.02104686577180888
235,9.066756705534521,1,81,-0.14532467133813043,-0.14644096326838427,-0.08660213577438583
236,9.10096192883326,1,302,-0.012212702778015228,-0.012569951544443732,-0.014202385517703899
237,9.113593590657842,1,118,0.021375294682457024,0.02161532939324492,0.01540150347039077
238,9.243931734607196,1,76,0.13584462938297293,0.1368232257629089,0.07839585038553791
239,9.287776390389634,1,76,0.03809602043565974,0.03837045622026311,0.02198518949027757
240,9.302556062126753,1,652,0.05265438839842318,0.05609640375911787,0.09153637810914865
241,9.312950531669985,1,108,-0.06235943985711856,-0.06299975355996991,-0.0429652690634448
242,9.315763821178935,1,284,-0.09456244049761153,-0.09715920448281445,-0.10654807585969864
243,9.32384757591569,1,108,-0.08236570726467107,-0.08321144755797735,-0.0567494637909014
244,9.328309267788116,1,308,-0.050218320664498606,-0.05171737501549547,-0.05899426814503315
245,9.364613187276449,1,236,-0.0882299092163521,-0.09023397645421428,-0.09041366953649624
246,9.467153411553632,1,322,-0.0988789252951392,-0.10196889171291111,-0.11884989001113914
247,9.46933294264713,1,534,-0.03381121763459305,-0.035600277309777446,-0.05288260673643739
248,9.48781320533636,1,50,0.017576616899077635,0.01765971361017454,0.008217308725464278
249,9.581273074036218,1,18,0.1431115523655535,0.14335438870770245,0.0400833698048969
250,9.835048538760438,1,34,0.0552813915810475,0.05545884317565485,0.021296070465530118
251,9.976335968739596,1,346,-0.09562614175729323,-0.098844686998493,-0.11928563903431728
252,9.983157125747821,1,542,-0.03333894858133135,-0.03513086747853906,-0.052553925356480756
253,10.099351316948594,1,2,0.17576884569871254,0.17580193471103087,0.016397698741908474
